X/D:Y:Z:Zd
-362.200000	-15.350000	41.750000	0.002307
-362.200000	0.000000	41.750000	0.014707
-362.200000	15.350000	41.750000	0.036707
-357.200000	-15.350000	41.750000	-0.000067
-357.200000	0.000000	41.750000	0.010833
-357.200000	15.350000	41.750000	0.032333
-352.200000	-15.350000	41.750000	-0.002541
-352.200000	0.000000	41.750000	0.007860
-352.200000	15.350000	41.750000	0.027660
-347.200000	-15.350000	41.750000	-0.002915
-347.200000	0.000000	41.750000	0.009086
-347.200000	15.350000	41.750000	0.022686
-342.200000	-15.350000	41.750000	-0.001688
-342.200000	0.000000	41.750000	0.005712
-342.200000	15.350000	41.750000	0.019512
-337.200000	-15.350000	41.750000	-0.001962
-337.200000	0.000000	41.750000	0.001839
-337.200000	15.350000	41.750000	0.016239
-332.200000	-15.350000	41.750000	-0.004236
-332.200000	0.000000	41.750000	0.000465
-332.200000	15.350000	41.750000	0.012665
-327.200000	-15.350000	41.750000	-0.006809
-327.200000	0.000000	41.750000	-0.001708
-327.200000	15.350000	41.750000	0.012991
-322.200000	-15.350000	41.750000	-0.007283
-322.200000	0.000000	41.750000	-0.001482
-322.200000	15.350000	41.750000	0.008918
-317.200000	-15.350000	41.750000	-0.008357
-317.200000	0.000000	41.750000	-0.003756
-317.200000	15.350000	41.750000	0.008844
-312.200000	-15.350000	41.750000	-0.006430
-312.200000	0.000000	41.750000	-0.004229
-312.200000	15.350000	41.750000	0.007370
-307.200000	-15.350000	41.750000	-0.007604
-307.200000	0.000000	41.750000	-0.003003
-307.200000	15.350000	41.750000	0.007797
-302.200000	-15.350000	41.750000	-0.008778
-302.200000	0.000000	41.750000	-0.004377
-302.200000	15.350000	41.750000	0.009423
-297.200000	-15.350000	41.750000	-0.010651
-297.200000	0.000000	41.750000	-0.001950
-297.200000	15.350000	41.750000	0.010350
-292.200000	-15.350000	41.750000	-0.009025
-292.200000	0.000000	41.750000	-0.002224
-292.200000	15.350000	41.750000	0.012376
-287.200000	-15.350000	41.750000	-0.010899
-287.200000	0.000000	41.750000	0.000002
-287.200000	15.350000	41.750000	0.014202
-282.200000	-15.350000	41.750000	-0.011972
-282.200000	0.000000	41.750000	-0.000171
-282.200000	15.350000	41.750000	0.016329
-277.200000	-15.350000	41.750000	-0.009946
-277.200000	0.000000	41.750000	0.000155
-277.200000	15.350000	41.750000	0.016655
-272.200000	-15.350000	41.750000	-0.005820
-272.200000	0.000000	41.750000	0.002181
-272.200000	15.350000	41.750000	0.019881
-242.800000	-15.350000	40.250000	-0.053353
-242.800000	0.000000	40.250000	-0.055353
-242.800000	15.350000	40.250000	-0.047552
-237.800000	-15.350000	40.250000	-0.052026
-237.800000	0.000000	40.250000	-0.055526
-237.800000	15.350000	40.250000	-0.046825
-232.800000	-15.350000	40.250000	-0.051900
