X/D:Y:Z:Xd:Yd:Zd
-136.0652	30.7889	40.2687	0.0348	0.0889	0.0187
-124.3638	30.7898	38.7823	0.0362	0.0898	0.0323
-119.3634	30.7900	38.7819	0.0366	0.0900	0.0319
-114.3630	30.7876	38.7788	0.0370	0.0876	0.0288
-109.3637	30.7852	38.7773	0.0363	0.0852	0.0273
-104.3631	30.7841	38.7771	0.0369	0.0841	0.0271
-99.3643	30.7843	38.7772	0.0357	0.0843	0.0272
-94.3623	30.7827	38.7776	0.0377	0.0827	0.0276
-124.3774	-30.6083	38.7977	0.0226	0.0917	0.0477
-119.3759	-30.6104	38.7935	0.0241	0.0896	0.0435
-114.3751	-30.6121	38.7927	0.0249	0.0879	0.0427
-109.3738	-30.6128	38.7919	0.0262	0.0872	0.0419
-104.3712	-30.6137	38.7921	0.0288	0.0863	0.0421
-99.3707	-30.6136	38.7945	0.0293	0.0864	0.0445
-94.3688	-30.6158	38.7971	0.0312	0.0842	0.0471
-78.6699	-30.6193	38.8105	0.0301	0.0807	0.0605
-78.6691	-15.2744	38.7899	0.0309	0.0756	0.0399
-78.6671	0.0771	38.7814	0.0329	0.0771	0.0314
-78.6671	15.4327	38.7826	0.0329	0.0827	0.0326
-78.6666	30.7775	38.7885	0.0334	0.0775	0.0385
-71.9405	30.6545	37.2583	0.0595	-0.0455	0.0083
-66.9395	30.6495	37.2305	0.0605	-0.0505	-0.0195
-61.9408	30.6469	37.2033	0.0592	-0.0531	-0.0467
-56.9419	30.6444	37.1733	0.0581	-0.0556	-0.0767
-51.9426	30.6419	37.1456	0.0574	-0.0581	-0.1044
-71.9758	-30.7442	37.1223	0.0242	-0.0442	-0.1277
-66.9748	-30.7487	37.0954	0.0252	-0.0487	-0.1546
-61.9740	-30.7505	37.0696	0.0260	-0.0505	-0.1804
-56.9724	-30.7530	37.0455	0.0276	-0.0530	-0.2045
-51.9722	-30.7560	37.0213	0.0278	-0.0560	-0.2287
-41.2754	-30.7601	36.9744	0.0246	-0.0601	-0.2756
-41.2681	-15.4143	36.9912	0.0319	-0.0643	-0.2588
-41.2595	-0.0648	37.0166	0.0405	-0.0648	-0.2334
-41.2529	15.2902	37.0507	0.0471	-0.0598	-0.1993
-41.2463	30.6361	37.0883	0.0537	-0.0639	-0.1617
41.3409	-30.7309	38.9612	0.0409	-0.0309	0.2112
41.3428	-15.3885	38.9461	0.0428	-0.0385	0.1961
41.3445	-0.0358	38.9424	0.0445	-0.0358	0.1924
41.3454	15.3164	38.9465	0.0454	-0.0336	0.1965
41.3477	30.6635	38.9541	0.0477	-0.0365	0.2041
52.0492	30.6625	38.9282	0.0492	-0.0375	0.1782
57.0498	30.6621	38.9206	0.0498	-0.0379	0.1706
62.0512	30.6609	38.9130	0.0512	-0.0391	0.1630
67.0516	30.6621	38.9030	0.0516	-0.0379	0.1530
72.0536	30.6605	38.8862	0.0536	-0.0395	0.1362
52.0419	-30.7330	38.9392	0.0419	-0.0330	0.1892
57.0426	-30.7339	38.9323	0.0426	-0.0339	0.1823
62.0432	-30.7337	38.9296	0.0432	-0.0337	0.1796
67.0445	-30.7352	38.9240	0.0445	-0.0352	0.1740
72.0454	-30.7345	38.9150	0.0454	-0.0345	0.1650
78.6720	-30.6982	40.3352	-0.0280	0.0018	0.0852
78.6754	-15.3538	40.3448	-0.0246	-0.0038	0.0948
78.6806	-0.0011	40.3603	-0.0194	-0.0011	0.1103
78.6849	15.3541	40.3689	-0.0151	0.0041	0.1189
78.6885	30.6994	40.3682	-0.0115	-0.0006	0.1182
94.3873	30.6969	40.3110	-0.0127	-0.0031	0.0610
99.3862	30.6973	40.2972	-0.0138	-0.0027	0.0472
104.3865	30.6955	40.2874	-0.0135	-0.0045	0.0374
109.3867	30.6951	40.2783	-0.0133	-0.0049	0.0283
114.3865	30.6934	40.2694	-0.0135	-0.0066	0.0194
119.3875	30.6926	40.2631	-0.0125	-0.0074	0.0131
124.3865	30.6914	40.2545	-0.0135	-0.0086	0.0045
94.3699	-30.6986	40.2781	-0.0301	0.0014	0.0281
99.3678	-30.6989	40.2668	-0.0322	0.0011	0.0168
104.3688	-30.7002	40.2601	-0.0312	-0.0002	0.0101
109.3679	-30.7015	40.2519	-0.0321	-0.0015	0.0019
114.3681	-30.7024	40.2461	-0.0319	-0.0024	-0.0039
119.3690	-30.7043	40.2399	-0.0310	-0.0043	-0.0101
124.3688	-30.7050	40.2364	-0.0312	-0.0050	-0.0136
136.1441	-30.7420	41.7829	0.0441	-0.0420	0.0329
136.1467	-15.3985	41.7827	0.0467	-0.0485	0.0327
136.1507	-0.0459	41.7880	0.0507	-0.0459	0.0380
136.1538	15.3080	41.7961	0.0538	-0.0420	0.0461
136.1573	30.6540	41.8053	0.0573	-0.0460	0.0553
152.8549	30.6538	41.7903	0.0549	-0.0462	0.0403
157.8528	30.6534	41.7879	0.0528	-0.0466	0.0379
162.8531	30.6530	41.7851	0.0531	-0.0470	0.0351
